,Tfc,Pa_des,Pc_des,Sa,Sc,Phi_a_des,Phi_c_des,epsilon_gdl,tau,epsilon_mc,epsilon_c,e,Re,i0_c_ref,kappa_co,kappa_c,a_slim,b_slim,a_switch,classification
1625,360.30655682384094,233193.55009123468,213193.55009123468,1.3,2.880687724995533,0.5,0.4342588845396662,0.6357149747894688,3.4404853789766725,0.3237515743004823,0.19329287036263393,4.0,1.964334270954132e-06,369.2786490706746,0.42565072464217585,21.186571294616574,0.840211046574659,0.00501173141393097,0.12241309798193828,invalid
1626,341.982267082955,216948.554555943,214948.554555943,1.3,1.1507898314888656,0.5,0.4247908369236545,0.7481021308026264,2.976948935222271,0.33475684517038884,0.2791335510501459,3.0,2.248030872352647e-06,251.2586370640306,18.83805722895462,73.71709256702466,0.8628397677433016,0.17879761924096388,0.6692252806608335,invalid
1627,340.3071438125398,236790.9332737301,216790.9332737301,1.3,1.3421973068266848,0.5,0.6353559922206035,0.730388652013755,1.7694816042010246,0.20873160617650685,0.23760061324203918,4.0,4.481615083217622e-06,91.08779592518998,38.65731528428719,77.06662099267122,0.15743038836552437,0.6220613181393156,0.015503024127794,invalid
1628,334.1305072437303,146567.52392650454,126567.52392650454,1.3,2.585104955594942,0.5,0.19411101990291277,0.7597341262003345,1.7358513497467982,0.24768448546192146,0.19368973414651383,3.0,3.4246337443590164e-06,345.7528266495396,27.598970741305497,60.04271562941685,0.4989130962857427,0.8811407879135233,0.4266842897743386,invalid
1629,352.99999999666665,236666.6666666633,204093.58261377894,2.3666666633333335,7.066666663333333,0.99999999,0.10000001,0.79999999,1.00000001,0.39999999,0.15000001,3.0,2.0033333333333334e-06,499.99999999,39.99999999,66.66666666333333,0.99999999,1e-08,0.6666666633333332,invalid
1630,360.0858580445392,260057.73933603827,240057.73933603827,1.3,1.2639318975476275,0.5,0.3431687699948148,0.5603692194416281,1.1327009199070819,0.2994547793635636,0.19485214233038572,3.0,1.6001113861799241e-06,351.18502431923537,27.389387654144823,12.928300078922035,0.04013209685272371,0.9893707293000475,0.1066387150877802,invalid
1631,338.90181452458825,211704.480194218,209704.480194218,1.3,2.170727436947584,0.5,0.2760553950219651,0.7594922588353954,3.5106396005745095,0.1611821508797471,0.2832161384828742,5.0,2.6435434892162957e-06,447.56384242144657,22.343789657447505,43.26314075348149,0.04290997202113946,0.8466488745431862,0.31553647967837367,invalid
1632,345.3117192480008,236529.765054581,216529.765054581,1.3,1.8417409815395782,0.5,0.1756273465516142,0.7380481902828452,2.1342686522919747,0.2948082540170139,0.155125379379505,4.0,1.2968445819616317e-06,304.5118202512783,27.079082555967553,7.858929325872778,0.3454998958090921,0.5616706895415038,0.838078899066719,invalid
1633,338.8437066586263,239938.27462196053,219938.27462196053,1.3,1.7258168612272429,0.5,0.6715174821037896,0.7491638004587754,1.1630051709437574,0.21481074138564837,0.2713746207400689,3.0,1.1281465953588485e-06,405.0708146324574,29.05886225296932,33.28853827304092,0.221263622851873,0.6502236107121896,0.3199059319379653,invalid
1634,347.72501473519657,184753.75900976715,164753.75900976715,1.3,1.52329324805469,0.5,0.3332572357624924,0.5745752461500666,3.3457687897102453,0.265095265769223,0.2920616487032539,5.0,1.7175294107198715e-06,165.91238971122223,23.368637973287804,81.64396676533345,0.8462723582646414,0.8644732312979146,0.9336688599428459,invalid
1635,358.7546007934041,219504.1519589717,199504.1519589717,1.3,1.8532232143209117,0.5,0.6792242009250224,0.7984607045956006,3.419991072653278,0.3044037030304232,0.2389542179202997,4.0,4.820418669581414e-06,44.942186437524114,6.363089386993811,41.601128971021296,0.4328646365941697,0.33638773720110454,0.7849162089465845,invalid
