Tfc,Pa_des,Pc_des,Sa,Sc,Phi_a_des,Phi_c_des,epsilon_gdl,tau,epsilon_mc,epsilon_c,e,Re,i0_c_ref,kappa_co,kappa_c,a_slim,b_slim,a_switch,start_in_range,early_values_in_range,monotonic,aprox_monotonic,classification
3.629668553185521773e+02,1.906362407747684629e+05,1.706362407747684629e+05,1.300000000000000044e+00,1.551970278033058870e+00,5.000000000000000000e-01,4.555609414460103368e-01,7.144362975959177575e-01,2.720613251832117108e+00,2.792264460464483067e-01,2.360174175097465854e-01,4.000000000000000000e+00,4.398555396795273407e-06,4.469858336623967716e+02,1.693156705745537494e+01,1.782125616776486732e+00,5.945240044687990499e-01,9.391889810268657657e-01,8.474872713328968077e-01,True,True,True,True,valid
3.452189831286582375e+02,2.211421926040194812e+05,2.011421926040194812e+05,1.300000000000000044e+00,1.390183287819482860e+00,5.000000000000000000e-01,4.653439749602674702e-01,6.133364834793435527e-01,2.909165098398069027e+00,1.764003476776613843e-01,2.679697193188728122e-01,4.000000000000000000e+00,4.875246902108192811e-06,2.118182222997145061e+02,1.380907592741515799e+01,4.995072359499986847e-01,3.246922751559920273e-01,3.918524434067784945e-01,4.902730837547070175e-01,True,True,True,True,valid
3.339033948556433984e+02,2.593249701894767350e+05,2.393249701894767350e+05,1.300000000000000044e+00,2.067359646785810412e+00,5.000000000000000000e-01,5.206833866243931741e-01,5.785788637423080472e-01,1.356445575306081563e+00,2.301540325416620569e-01,1.875646146568090145e-01,4.000000000000000000e+00,3.363742576837540193e-06,4.510910730089007075e+02,3.571528171141026320e+01,1.466273619255552552e+00,8.376706389231403094e-01,4.073237273750899279e-01,6.654036626666628429e-01,True,True,True,True,valid
3.619663237426453293e+02,1.331657079793609155e+05,1.131657079793609155e+05,1.300000000000000044e+00,1.280498121303813575e+00,5.000000000000000000e-01,6.201922771697967463e-01,7.615118234126738717e-01,3.065749218641043772e+00,2.586726145842223046e-01,1.825254876454256991e-01,5.000000000000000000e+00,2.175115709900855813e-06,3.995435570576946702e+02,3.749809561715574446e+00,8.352686175405995073e+01,9.020233973892211043e-02,7.576610040541477131e-01,9.863323378899062632e-01,True,False,True,True,valid
3.473350077424906317e+02,2.123946319613608648e+05,1.923946319613608648e+05,1.300000000000000044e+00,2.292584092876112312e+00,5.000000000000000000e-01,3.888234566897377231e-01,7.265835807370057964e-01,3.853987064499206028e+00,2.060866807770072584e-01,2.818198301041081599e-01,5.000000000000000000e+00,2.951446725130081609e-06,2.617040129725414772e+02,1.974838555874098134e+01,8.371790969349774958e-01,2.666597735581075629e-02,9.814528754547964251e-01,1.646658239897775544e-01,True,True,True,True,valid
3.612247390509893421e+02,1.583163516223497281e+05,1.383163516223497281e+05,1.300000000000000044e+00,2.064581980495887592e+00,5.000000000000000000e-01,5.624150913087065939e-01,6.646797723011121928e-01,2.639191556725304366e+00,1.851052176876958610e-01,1.717020251140336518e-01,4.000000000000000000e+00,2.310528480410576056e-06,5.783605906179678868e+01,3.939712325441308849e+01,2.714144913623631528e+00,7.866417671036112225e-01,9.061347844808564922e-01,2.251455494225532428e-01,True,True,True,True,valid
3.516512866591907027e+02,1.945082402881258749e+05,1.745082402881258749e+05,1.300000000000000044e+00,1.232513833734835362e+00,5.000000000000000000e-01,6.573785273247056971e-01,5.900013470103306901e-01,1.648941989142550746e+00,2.544074876875462854e-01,2.509282471034369189e-01,3.000000000000000000e+00,1.568773214817047078e-06,2.951257684854826380e+02,2.131614541866435530e+01,1.741084279831055071e+00,2.971157947153832413e-01,9.216058188547229246e-01,9.314927391091023523e-01,True,True,True,True,valid
3.375674920803568284e+02,2.211421926040194812e+05,2.011421926040194812e+05,1.300000000000000044e+00,1.390183287819482860e+00,5.000000000000000000e-01,4.653439749602674702e-01,6.133364834793435527e-01,2.909165098398069027e+00,1.764003476776613843e-01,2.679697193188728122e-01,4.000000000000000000e+00,4.875246902108192811e-06,2.118182222997145061e+02,2.263458026444343929e+01,4.995072359499986847e-01,3.246922751559920273e-01,3.918524434067784945e-01,4.902730837547070175e-01,True,True,True,True,valid
3.551877445977691536e+02,2.980270078033111058e+05,2.780270078033111058e+05,1.300000000000000044e+00,2.770822733503643498e+00,5.000000000000000000e-01,4.096479407089638203e-01,5.727223998267014782e-01,3.800493864985837078e+00,3.144103528137097148e-01,2.330394996786678552e-01,4.000000000000000000e+00,3.683808868527412449e-06,5.333201281965138918e+01,6.727552809845709803e+00,1.207930511308850097e+00,6.114034323092824019e-01,1.282633086507998510e-01,1.966660185847876052e-01,True,True,True,True,valid
3.539739473981072138e+02,2.230245450977226428e+05,2.030245450977226428e+05,1.300000000000000044e+00,1.674245040255587291e+00,5.000000000000000000e-01,1.812393691667804618e-01,5.972132341767036889e-01,1.254349150617342534e+00,1.946049190646833016e-01,1.847146893082843022e-01,3.000000000000000000e+00,3.657439948916435845e-06,9.453144040472838583e+01,1.956169673933466413e+01,2.303964557945178959e-01,4.705337738923563995e-01,6.229709464718084268e-03,8.824830090498921864e-01,True,True,True,True,valid
3.439129884028114361e+02,1.403850595001219190e+05,1.203850595001219190e+05,1.300000000000000044e+00,1.234454713312664875e+00,5.000000000000000000e-01,5.111114854208796965e-01,7.969956088072212008e-01,1.005437272320032882e+00,1.933204630540864000e-01,1.902675285679241157e-01,4.000000000000000000e+00,2.423588561415672399e-06,9.726099286575067993e+01,1.142215228686019302e+01,5.724695240620570225e+00,3.281204651026846109e-01,3.750065894061505728e-02,3.321011034823966868e-01,True,True,True,True,valid
3.576921619335767559e+02,1.403850595001219190e+05,1.203850595001219190e+05,1.300000000000000044e+00,1.234454713312664875e+00,5.000000000000000000e-01,1.499934160598409005e-01,7.969956088072212008e-01,1.005437272320032882e+00,1.933204630540864000e-01,1.902675285679241157e-01,4.000000000000000000e+00,2.423588561415672399e-06,9.726099286575067993e+01,1.142215228686019302e+01,5.724695240620570225e+00,3.281204651026846109e-01,3.750065894061505728e-02,3.321011034823966868e-01,True,True,True,True,valid
